Case,Place,Date,Year,Summary,Fatalities,Injured,Total,Venue,Type of weapons,Weapons,latitude,longitude,Sources
Pennsylvania supermarket shooting, Pennsylvania,6/7/17,2017,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Workplace,shotguns,Unknown,35.047157,-85.311819,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en"
Fresno downtown shooting, California,4/18/17,2017,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Other,handgun,Unknown,36.7468422,-119.7725868,http://www.nbcbayarea.com/news/local/Active-Shooter-San-Francisco-Police-428441423.html; https://apnews.com/2c1690393510447995018b0f9467b44c?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP; http://www.sfchronicle.com/bayarea/article/Police-swarm-UPS-building-in-SF-on-report-of-11219519.php; https://www.pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1497461182413-836; http://www.foxnews.com/us/2017/06/15/san-francisco-ups-facility-shooting-gunman-identified-as-police-seek-motive.html; http://www.sfgate.com/crime/article/UPS-shooter-in-San-Francisco-used-stolen-gun-with-11243414.php
Walmart shooting in suburban Denver, Colorado,11/1/17,2017,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,Other,semiautomatic handgun,Unknown,43.0605671,-88.1064787,http://www.nytimes.com/2016/02/22/us/kalamazoo-michigan-random-shootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index
Las Vegas Strip massacre, Nevada,10/1/17,2017,"Stephen Craig Paddock, 64, rained a barrage of rapid gunfire down on thousands of concertgoers on the Las Vegas Strip late on a Sunday night, firing from a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino. Soon thereafter, he was found by law enforcement inside the hotel room, deceased from a self-inflicted gunshot wound.",58,546,604,Other,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods",Yes,36.181271,-115.134132,https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-strip-shooting-what-we-know/722226001/
Fort Lauderdale airport shooting, Florida,1/6/17,2017,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. ",5,6,23,Airport,"semiautomatic handgun",Yes,26.0742344,-80.1506022,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html
Cascade Mall shooting, Washington,9/23/16,2016,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy_Ê_s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,Other,Rifle,Unknown,48.050824,-122.176918,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm
Baton Rouge police shooting, Lousiana ,7/17/16,2016,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Other,Two semiautomatic rifles; one semiautomatic handgun,Unknown,30.4582829,-91.1403196,http://seattletimes.com/html/localnews/2010385617_webmansought29.html; http://www.nytimes.com/2009/11/30/us/30tacoma.html?_r=1; http://seattletimes.com/html/localnews/2014155225_clemmons08m.html
Orlando nightclub massacre, Florida,6/12/16,2016,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,"Semiautomatic rifle, semiautomatic handgun",Yes,28.5383355,-81.3792365,http://www.tampabay.com/news/publicsafety/choice-chance-life-and-death-in-the-mass-shooting-at-orlandos-pulse/2282371
Kalamazoo shooting spree, Michigan,2/20/16,2016,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,Semiautomatic handgun,Yes,42.2917069,-85.5872286,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all
Dallas police shooting, Texas,7/7/16,2016,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,"Semiautomatic rifle, semiautomatic handguns",Yes,32.7790911,-96.8002704,http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading
Excel Industries mass shooting, Kansas,2/25/16,2016,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,"Semiautomatic rifle, semiautomatic handgun",Yes,38.1383437,-97.4314267,http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php; http://blogs.ocweekly.com/navelgazing/2011/10/hair_salon_seal_beach_shooting.php; http://latimesblogs.latimes.com/lanow/2011/10/seal-beach-shooting-suspect-had-been-ordered-not-to-carry-guns-.html
San Bernardino mass shooting, California,12/2/15,2015,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,"Workplace","Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.",Yes,34.1083449,-117.2897652,http://www.latimes.com/local/california/la-me-san-bernardino-shooting-terror-investigation-htmlstory.html
Planned Parenthood clinic, Colorado,11/27/15,2015,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Workplace,Long gun,Unknown,38.8338816,-104.8213634,http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html
Umpqua Community College shooting, Oregon,10/1/15,2015, 26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,"Five pistols, one rifle, five magazines of ammunition",Yes,43.216505,-123.3417381,http://www.usatoday.com/news/nation/2009-04-13-columbine-myths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html
Charleston Church Shooting, South Carolina,6/17/15,2015,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been planning something like that for six months.""",9,1,10,Religious,Handgun,Yes,32.7764749,-79.9310512,http://www.vpc.org/studies/wgun980324.htm
Colorado Springs shooting rampage, Colorado,10/31/15,2015,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",3,0,3,Other,Two handguns and a rifle,Yes,38.8338816,-104.8213634,http://www.nytimes.com/2015/10/03/us/chris-harper-mercer-umpqua-community-college-shooting.html; http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html; http://www.huffingtonpost.com/entry/ian-mercer-father-guns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/what-we-know-about-umpqua-community-college-shooter-2/; http://www.cnn.com/2015/10/02/us/oregon-umpqua-community-college-shooting/ 
Trestle Trail bridge shooting, Wisconsin,6/11/15,2015,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Other,"Two handguns",Yes,44.2022084,-88.4464973,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police
Chattanooga military recruitment center, Tennessee,7/16/15,2015,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,"2 assault rifles; semiautomatic handgun","Yes (""some of the weapons were purchased legally and some of them may not have been"")",35.0456297,-85.3096801,"http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en"
Fort Hood shooting 2, Texas,4/3/14,2014,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",3,12,15,Military,"handgun",Yes,31.1950013,-97.7413143,http://web.caller.com/2000/april/03/today/local_ne/4127.html
Marysville-Pilchuck High School shooting, Washington,10/24/14,2014,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",5,1,6,School,Handgun,No,48.0517637,-122.1770818,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm
Alturas tribal shooting, California,2/20/14,2014,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",4,2,6,Other,Two handguns and a butcher knife,Unknown,41.4871146,-120.5424555,https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.wsj.com/articles/las-vegas-suspect-likely-used-automatic-rifle-in-massacre-1506966716; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; http://www.latimes.com/nation/la-las-vegas-shooting-live-updates-paddock-had-19-rifles-in-room-1506985512-htmlstory.html; https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.usatoday.com/story/news/nation/2017/10/06/here-all-victims-las-vegas-shooting/733236001/; https://www.reviewjournal.com/crime/shootings/last-of-local-hospitals-patients-in-las-vegas-shooting-released/
Isla Vista mass murder, California,5/23/14,2014,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,Three semi-automatic handguns and two hunting knives,Yes,34.4208305,-119.6981901,https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs
Washington Navy Yard shooting, D.C.,9/16/13,2013,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",12,8,20,Military,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",Yes,38.9071923,-77.0368707,http://www.seattletimes.com/seattle-news/fourth-marysville-shooting-victim-dies-as-another-is-laid-to-rest/ http://www.mercurynews.com/crime-courts/ci_26814211/jaylen-fryberg-included-tributes-washington-school-shooting-victims
Hialeah apartment shooting, Florida,7/26/13,2013,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,"Other",9mm semi-automatic handgun,Yes,25.8575963,-80.2781057,http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/
Mohawk Valley shootings, New York,3/13/13,2013,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,Shotgun,Yes,43.1630587,-74.8741045,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; 
Pinewood Village Apartment shooting, Washington,4/21/13,2013,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",5,0,5,"Other","Semiautomatic handgun, shotgun",Yes,47.3223221,-122.3126222,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html
Santa Monica rampage, California,6/7/13,2013,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,"Other","Assault rifle, high capacity magazines, antique handgun",Yes ,34.0194543,-118.4911912,https://www.nytimes.com/2017/11/01/us/thornton-colorado-walmart-shooting.html; http://www.cnn.com/2017/11/01/us/colorado-walmart-shooting/index.html; http://www.thedenverchannel.com/news/crime/colorado-walmart-shooting-suspect-scott-ostrem-had-run-ins-with-police-financial-troubles; http://www.ibtimes.com/who-scott-ostrem-manhunt-underway-colorado-walmart-shooting-suspect-2609562
Sandy Hook Elementary massacre, Connecticut,12/14/12,2012,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",27,2,29,School,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)",No,41.4141172,-73.3035651,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/police-gunman-prior-suicidal-homicidal-thoughts/71064874/ and http://fox6now.com/2015/05/05/he-was-my-future-husband-fiancee-of-menasha-gunman-says-shes-devastated-for-victims-families/ 
Aurora theater shooting, Colorado,7/20/12,2012,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,Other,"Two semiautomatic handguns, one rifle (assault), one shotgun",Yes,39.7294319,-104.8319195,http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0
Oikos University killings, California,4/2/12,2012,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,One semiautomatic handgun,Yes,37.8043637,-122.2711137,http://www.pressconnects.com/story/news/local/pennsylvania/2017/06/08/dead-murder-suicide-pa-weis/102621742/; https://www.washingtonpost.com/news/morning-mix/wp/2017/06/09/killer-in-supermarket-shooting-posted-chilling-videos-online-lauding-columbine-massacre/?utm_term=.4cf2327eb879; https://www.cbsnews.com/news/weiss-supermarket-shooting-spree-randy-stair-spared-coworker/
Accent Signage Systems shooting, Minnesota,9/27/12,2012,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,One semiautomatic handgun,Yes,44.977753,-93.2650108,"http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_news-crime_and_courts/t/witnesses-describe-chaotic-scene-ky-plant/#.UFEbHhhgspQ"
Sikh temple shooting, Wisconsin,8/5/12,2012,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,One semiautomatic handgun,Yes,42.8858503,-87.8631362,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en"
Seattle cafe shooting, Washington,5/20/12,2012,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,Other,Two semiautomatic handguns,Yes,47.671466,-122.317143,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm
Su Jung Health Sauna shooting, Georgia,2/22/12,2012,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,Other,One semiautomatic handgun,Yes,33.9412127,-84.2135309,http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/; http://www.9news.com/news/article/283503/188/Aurora-shooting-prompts-gun-bills-in-big-states-; http://www.nytimes.com/2012/07/21/us/shooting-at-colorado-theater-showing-batman-movie.html; http://www.motherjones.com/politics/2012/07/batman-theater-shooting-updates-dark-knight-rises
Seal Beach shooting, California,10/14/11,2011,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested.",8,1,9,Other,"Two semiautomatic handguns, one revolver",Yes,33.7414085,-118.1047682,http://www.postandcourier.com/news/multiple-people-dead-following-shooting-near-orlando-monday-morning/article_918fe64c-49f6-11e7-b071-a3fbdb04ebcc.html; http://www.mcclatchydc.com/news/politics-government/national-politics/article154471839.htmlhttp://edition.cnn.com/2017/06/05/us/orlando-fatalities/; http://www.orlandosentinel.com/news/orlando-workplace-shooting/os-john-robert-neumann-shooting-suspect-20170605-story.html
Tucson shooting, Arizona,1/8/11,2011,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Other,One semiautomatic handgun,Yes,32.2217429,-110.926479,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html; http://www.ktvu.com/news/gunman-in-yountville-veterans-home-killings-was-ex-patient; https://www.washingtonpost.com/news/post-nation/wp/2018/03/09/police-respond-to-reports-of-gunfire-and-hostages-taken-at-california-veterans-home/?utm_term=.b9dde7ac5f0f
IHOP shooting, Nevada,9/6/11,2011,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,Other,"Two rifles (both assault), one revolver",Yes,39.1637984,-119.7674034,http://seattletimes.com/html/localnews/2002892043_shooter27m.html; http://seattletimes.com/html/localnews/2002898900_huff30m.html
